"x","y"
"3.524","'-50.849"
"3.528","'-32.849"
"3.532","'-40.849"
"3.536","'-12.849"
"3.54","'-28.849"
"3.544","'-20.849"
"3.548","'-18.849"
"3.552","'-44.849"
"3.556","'-10.849"
"3.56","'-16.849"
"3.564","'-12.849"
"3.568","'-18.849"
"3.572","'-2.8493"
"3.576","3.1507"
"3.58","'-10.849"
"3.584","'-14.849"
"3.588","'-2.8493"
"3.592","5.1507"
"3.596","'-4.8493"
"3.6","7.1507"
"3.604","13.151"
"3.608","21.151"
"3.612","69.151"
"3.616","191.15"
"3.62","341.15"
"3.624","511.15"
"3.628","621.15"
"3.632","743.15"
"3.636","733.15"
"3.64","481.15"
"3.644","107.15"
"3.648","'-136.85"
"3.652","'-350.85"
"3.656","'-372.85"
"3.66","'-308.85"
"3.664","'-236.85"
"3.668","'-170.85"
"3.672","'-142.85"
"3.676","'-138.85"
"3.68","'-124.85"
"3.684","'-110.85"
"3.688","'-118.85"
"3.692","'-96.849"
"3.696","'-104.85"
"3.7","'-72.849"
"3.704","'-90.849"
"3.708","'-86.849"
"3.712","'-60.849"
"3.716","'-56.849"
"3.72","'-36.849"
"3.724","'-54.849"
"3.728","'-48.849"
"3.732","'-46.849"
"3.736","'-24.849"
"3.74","'-14.849"
"3.744","'-16.849"
"3.748","'-16.849"
"3.752","'-14.849"
"3.756","'-16.849"
"3.76","'-20.849"
"3.764","'-22.849"
"3.768","'-6.8493"
"3.772","'-0.8493"
"3.776","15.151"
"3.78","'-8.8493"
"3.784","'-2.8493"
"3.788","'-8.8493"
"3.792","'-6.8493"
"3.796","37.151"
"3.8","7.1507"
"3.804","21.151"
"3.808","19.151"
"3.812","15.151"
"3.816","27.151"
"3.82","13.151"
"3.824","29.151"
"3.828","41.151"
"3.832","47.151"
"3.836","47.151"
"3.84","35.151"
"3.844","47.151"
"3.848","55.151"
"3.852","53.151"
"3.856","57.151"
"3.86","31.151"
"3.864","33.151"
"3.868","59.151"
"3.872","33.151"
"3.876","63.151"
"3.88","43.151"
"3.884","57.151"
"3.888","53.151"
"3.892","57.151"
"3.896","47.151"
"3.9","67.151"
"3.904","51.151"
"3.908","37.151"
"3.912","27.151"
"3.916","29.151"
"3.92","35.151"
"3.924","39.151"
"3.928","13.151"
"3.932","'-8.8493"
"3.936","'-18.849"
"3.94","'-20.849"
"3.944","'-28.849"
"3.948","'-44.849"
"3.952","'-34.849"
"3.956","'-58.849"
"3.96","'-36.849"
"3.964","'-50.849"
"3.968","'-72.849"
"3.972","'-72.849"
"3.976","'-66.849"
"3.98","'-56.849"
"3.984","'-54.849"
"3.988","'-40.849"
"3.992","'-66.849"
"3.996","'-30.849"
"4","'-26.849"
"4.004","'-38.849"
"4.008","'-10.849"
"4.012","'-54.849"
"4.016","'-22.849"
"4.02","'-18.849"
"4.024","'-18.849"
"4.028","'-14.849"
"4.032","1.1507"
"4.036","'-6.8493"
"4.04","'-12.849"
"4.044","'-2.8493"
"4.048","15.151"
"4.052","'-2.8493"
"4.056","'-18.849"
"4.06","'-14.849"
"4.064","'-8.8493"
"4.068","'-16.849"
"4.072","'-12.849"
"4.076","'-26.849"
"4.08","21.151"
"4.084","1.1507"
"4.088","11.151"
"4.092","'-10.849"
"4.096","3.1507"
"4.1","'-16.849"
"4.104","'-26.849"
"4.108","13.151"
"4.112","'-40.849"
"4.116","'-32.849"
"4.12","5.1507"
"4.124","'-12.849"
"4.128","'-16.849"
"4.132","'-28.849"
"4.136","'-24.849"
"4.14","1.1507"
"4.144","'-6.8493"
"4.148","'-10.849"
"4.152","'-20.849"
"4.156","'-16.849"
"4.16","'-6.8493"
"4.164","5.1507"
"4.168","17.151"
"4.172","3.1507"
"4.176","35.151"
"4.18","25.151"
"4.184","33.151"
"4.188","27.151"
"4.192","25.151"
"4.196","23.151"
"4.2","35.151"
"4.204","31.151"
"4.208","53.151"
